City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Herat Province,AF,34.5,62.0,26.0,29,0,4.1,07/15/20
Mount Isa,AU,-20.73,139.5,22.0,21,0,6.2,07/15/20
Erenhot,CN,43.65,111.98,28.38,35,69,4.91,07/15/20
Codrington,AU,-38.27,141.97,11.86,71,0,2.15,07/15/20
Susa,IR,32.19,48.24,28.15,16,0,2.81,07/15/20
Husavik,IS,66.04,-17.34,11.0,87,90,2.1,07/15/20
Port Keats,AU,-14.25,129.55,27.9,32,0,3.45,07/15/20
Yar-Sale,RU,66.83,70.83,10.41,69,54,8.97,07/15/20
Roald,NO,62.58,6.13,12.22,93,20,2.1,07/15/20
Sørkjosen,NO,69.8,20.93,13.48,67,85,1.35,07/15/20
San Miguel de Tucumán,AR,-26.82,-65.22,11.0,66,14,2.6,07/15/20
Korla,CN,41.76,86.15,25.56,65,2,5.23,07/15/20
Saint-Joseph,RE,-21.37,55.62,18.0,72,31,1.5,07/15/20
Sultepec,MX,18.87,-99.95,15.0,82,75,0.82,07/15/20
Boyolangu,ID,-8.12,111.89,25.73,79,89,3.72,07/15/20
Dossor,KZ,47.53,52.98,31.38,22,100,2.81,07/15/20
Ancud,CL,-41.87,-73.82,9.44,100,90,3.6,07/15/20
Yambio,SS,4.57,28.4,19.43,95,100,0.41,07/15/20
Puerto Colombia,CO,10.99,-74.95,28.0,78,0,4.1,07/15/20
Ulaanbaatar,MN,47.91,106.88,16.0,72,75,6.0,07/15/20
Atherton,GB,53.52,-2.49,14.44,96,97,2.68,07/15/20
Stary Krym,UA,45.03,35.1,14.26,58,0,2.24,07/15/20
Bogorodskoye,RU,56.55,37.88,12.58,98,99,1.51,07/15/20
Hailun,CN,47.45,126.93,28.66,64,0,4.33,07/15/20
Fortuna,US,40.6,-124.16,18.89,72,1,4.6,07/15/20
Povenets,RU,62.85,34.83,11.62,73,100,4.87,07/15/20
Dobrić,RS,44.7,19.58,19.0,82,58,2.6,07/15/20
Bolobo,CD,-2.17,16.23,22.67,82,44,0.85,07/15/20
Nome,US,64.5,-165.41,11.11,87,90,2.6,07/15/20
Benjamin Constant,BR,-4.38,-70.03,26.0,100,20,1.0,07/15/20
Bonavista,CA,48.65,-53.11,9.44,77,100,5.36,07/15/20
Bilma,NE,18.69,12.92,29.6,36,0,3.84,07/15/20
Bensonville,LR,6.45,-10.61,21.58,88,92,2.17,07/15/20
Mardin,TR,37.31,40.74,25.84,17,0,4.45,07/15/20
Luau,AO,-10.71,22.22,14.18,35,2,3.51,07/15/20
Saint-Augustin,CA,51.23,-58.65,10.74,74,0,1.54,07/15/20
Shakiso,ET,5.75,38.92,14.06,96,100,0.72,07/15/20
Marawi,PH,8.0,124.29,28.33,71,38,2.24,07/15/20
Caravelas,BR,-17.71,-39.25,21.9,87,23,4.59,07/15/20
Bambous Virieux,MU,-20.34,57.76,20.0,88,75,5.1,07/15/20
Faanui,PF,-16.48,-151.75,25.65,85,25,6.75,07/15/20
Vila Franca do Campo,PT,37.72,-25.43,19.0,72,40,5.1,07/15/20
Hirara,JP,24.8,125.28,32.0,70,75,11.3,07/15/20
Esmeraldas,BR,-19.76,-44.31,19.0,72,65,4.6,07/15/20
Muri,IN,23.37,85.87,27.0,94,75,1.0,07/15/20
Mildura,AU,-34.2,142.15,14.44,62,0,1.0,07/15/20
Ilebo,CD,-4.32,20.58,21.54,85,82,0.43,07/15/20
Kumul,CN,42.8,93.45,29.16,17,100,3.04,07/15/20
Chimbote,PE,-9.09,-78.58,16.46,87,86,4.42,07/15/20
Zaraza,VE,9.35,-65.32,23.19,94,1,2.05,07/15/20
Hambantota,LK,6.12,81.12,25.0,100,20,2.6,07/15/20
Mahibadhoo,MV,3.78,72.97,28.86,75,100,4.45,07/15/20
Svatove,UA,49.41,38.15,13.81,85,1,1.73,07/15/20
Zhigansk,RU,66.77,123.37,21.92,50,8,1.65,07/15/20
La Reforma,MX,18.1,-91.02,28.8,56,5,5.69,07/15/20
College,US,64.86,-147.8,23.0,43,75,5.7,07/15/20
Malaṅgawā,NP,26.86,85.56,30.01,71,3,5.34,07/15/20
Havøysund,NO,71.0,24.66,13.0,76,89,2.6,07/15/20
Colesberg,ZA,-30.72,25.1,-1.38,89,0,1.21,07/15/20
San Jose,US,37.34,-121.89,26.11,50,75,6.2,07/15/20
Guabito,PA,9.5,-82.62,25.77,80,55,1.44,07/15/20
Thinadhoo,MV,0.53,72.93,29.03,66,100,1.33,07/15/20
Astara,AZ,38.5,48.67,20.0,82,0,1.36,07/15/20
Hasaki,JP,35.73,140.83,22.78,83,75,3.1,07/15/20
Constitución,CL,-35.33,-72.42,11.52,89,79,3.02,07/15/20
Mufulira,ZM,-12.55,28.24,10.0,59,21,3.73,07/15/20
Dongying,CN,37.46,118.49,32.31,40,0,0.66,07/15/20
Srednekolymsk,RU,67.45,153.68,9.62,56,100,2.89,07/15/20
Biak,ID,-0.91,122.88,26.13,82,100,3.17,07/15/20
Ahipara,NZ,-35.17,173.17,17.41,83,100,3.54,07/15/20
San Ramon,US,37.78,-121.98,25.0,44,1,6.2,07/15/20
High Prairie,CA,55.43,-116.49,18.3,77,100,1.89,07/15/20
Takoradze,GH,4.88,-1.76,23.17,86,100,4.5,07/15/20
Khani,GE,41.96,42.96,21.0,94,75,1.0,07/15/20
Avera,US,33.19,-82.53,29.0,74,1,2.6,07/15/20
‘Ewa Beach,US,21.32,-158.01,31.0,48,75,4.6,07/15/20
Luang Prabang,LA,19.89,102.13,26.0,83,40,2.1,07/15/20
Santa Rosalía,MX,27.32,-112.28,33.48,32,0,1.8,07/15/20
Xifeng,CN,42.74,124.72,31.35,35,0,3.5,07/15/20
Mehamn,NO,71.04,27.85,12.99,73,49,2.55,07/15/20
Pedernales,DO,18.04,-71.74,27.05,73,17,1.51,07/15/20
Klaksvík,FO,62.23,-6.59,11.0,100,100,7.2,07/15/20
Saint George,US,37.1,-113.58,39.0,10,1,4.1,07/15/20
Bathsheba,BB,13.22,-59.52,28.0,74,40,5.7,07/15/20
Sanmenxia,CN,34.77,111.18,28.39,56,59,4.69,07/15/20
Kita,ML,13.03,-9.49,23.71,90,75,2.47,07/15/20
Portobelo,PA,9.55,-79.65,27.78,78,14,3.58,07/15/20
Byron Bay,AU,-28.65,153.62,18.89,48,0,6.7,07/15/20
Businga,CD,3.33,20.88,20.71,96,100,0.34,07/15/20
Kivsharivka,UA,49.62,37.7,13.58,87,51,1.65,07/15/20
Mutsu,JP,41.29,141.22,21.67,72,75,5.1,07/15/20
Tangwani,PK,28.28,69.0,33.0,70,40,2.79,07/15/20
Wamba,NG,8.93,8.6,21.91,96,100,0.93,07/15/20
Sept-Îles,CA,50.2,-66.38,15.0,87,20,1.77,07/15/20
Loralai,PK,30.37,68.6,27.17,44,0,1.72,07/15/20
Krasnogorskoye,RU,52.3,86.2,16.78,76,12,0.76,07/15/20
Vao,NC,-22.67,167.48,20.79,71,27,9.8,07/15/20
Nurota,UZ,40.56,65.69,23.0,53,0,3.1,07/15/20
Atambua,ID,-9.11,124.89,27.31,53,89,2.07,07/15/20
Doha,QA,25.29,51.53,33.0,79,0,1.0,07/15/20
Souillac,MU,-20.52,57.52,20.0,88,75,5.1,07/15/20
Northam,GB,51.03,-4.22,16.67,96,71,0.89,07/15/20
Rafai,CF,4.95,23.92,20.01,98,100,0.19,07/15/20
San Miguel de Cozumel,MX,20.51,-86.95,29.44,83,40,3.6,07/15/20
Kudahuvadhoo,MV,2.67,72.89,29.06,70,100,3.72,07/15/20
Panzhihua,CN,26.59,101.71,25.17,68,100,1.59,07/15/20
Cockburn Town,TC,21.46,-71.14,27.73,80,1,7.36,07/15/20
Henties Bay,NA,-22.12,14.28,21.67,16,0,1.34,07/15/20
Foso,GH,5.7,-1.29,20.3,91,99,1.4,07/15/20
Khawhai,IN,23.37,93.12,20.6,100,98,0.27,07/15/20
Feijó,BR,-8.16,-70.35,23.11,84,22,0.75,07/15/20
Fairview,US,40.81,-74.0,23.0,78,75,2.6,07/15/20
Horodnya,UA,51.89,31.6,9.66,81,63,2.53,07/15/20
Gornoye Loo,RU,43.71,39.6,19.0,82,0,2.36,07/15/20
Coyhaique,CL,-45.58,-72.07,1.0,100,90,1.5,07/15/20
Lesozavodsk,RU,45.48,133.42,23.59,76,11,3.92,07/15/20
Ilhabela,BR,-23.78,-45.36,17.73,73,100,2.17,07/15/20
Botwood,CA,49.15,-55.35,8.89,87,100,2.97,07/15/20
Brae,GB,60.4,-1.35,12.0,93,77,3.6,07/15/20
Viedma,AR,-40.81,-63.0,7.31,67,98,3.15,07/15/20
Kloulklubed,PW,7.04,134.26,29.0,74,75,3.6,07/15/20
Verkhnyaya Sinyachikha,RU,57.98,61.67,23.4,79,0,1.86,07/15/20
Barranca,PE,-10.75,-77.77,15.29,89,57,3.66,07/15/20
Grants Pass,US,42.44,-123.33,33.0,19,1,6.2,07/15/20
Grand Gaube,MU,-20.01,57.66,20.0,88,75,5.1,07/15/20
Zhuhai,CN,22.28,113.57,34.44,79,40,5.7,07/15/20
Longyearbyen,SJ,78.22,15.64,7.0,81,75,1.5,07/15/20
Pilar,BR,-9.6,-35.96,24.0,88,75,1.5,07/15/20
Port-Gentil,GA,-0.72,8.78,23.22,81,100,3.82,07/15/20
Sousa,BR,-6.76,-38.23,25.5,55,98,4.07,07/15/20
Catarama,EC,-1.58,-79.47,24.73,75,100,0.52,07/15/20
Lavrentiya,RU,65.58,-171.0,9.62,82,100,2.51,07/15/20
Forbes,AU,-33.38,148.02,9.44,84,0,0.45,07/15/20
Gimli,CA,50.63,-96.99,22.22,99,11,1.79,07/15/20
Akhmīm,EG,26.56,31.75,29.0,35,0,6.2,07/15/20
Charagua,BO,-19.8,-63.22,17.42,74,57,0.81,07/15/20
Cherlak,RU,54.16,74.81,19.48,70,15,1.81,07/15/20
Berlevåg,NO,70.86,29.09,12.85,71,30,6.12,07/15/20
Vanimo,PG,-2.67,141.3,30.17,62,18,3.01,07/15/20
Aguascalientes,MX,21.88,-102.3,20.0,64,90,1.0,07/15/20
Khandyga,RU,62.67,135.6,25.69,35,0,2.49,07/15/20
Toppenish,US,46.38,-120.31,33.33,33,1,1.5,07/15/20
Taoudenni,ML,22.68,-3.98,35.36,26,0,5.28,07/15/20
North Branch,US,45.51,-92.98,22.22,62,0,0.89,07/15/20
Izumo,JP,35.37,132.77,24.0,73,40,2.6,07/15/20
Maniitsoq,GL,65.42,-52.9,6.81,76,100,4.92,07/15/20
Vrangel',RU,42.73,133.08,18.67,80,4,3.84,07/15/20
Gijang,KR,35.24,129.21,25.0,57,20,1.5,07/15/20
Vanavara,RU,60.34,102.28,15.49,58,36,4.92,07/15/20
Isangel,VU,-19.55,169.27,27.0,74,20,2.6,07/15/20
Channel-Port aux Basques,CA,47.57,-59.14,12.3,77,99,4.29,07/15/20
Makakilo City,US,21.35,-158.09,31.0,48,75,4.6,07/15/20
Mandera,KE,3.94,41.87,25.1,56,100,6.73,07/15/20
West Islip,US,40.71,-73.31,21.67,70,37,2.24,07/15/20
Loukhi,RU,66.08,33.04,8.37,84,2,1.09,07/15/20
Ca Mau,VN,9.18,105.15,29.6,73,31,1.78,07/15/20
Oxapampa,PE,-10.58,-75.4,14.97,90,85,0.99,07/15/20
Umba,RU,66.69,34.34,9.78,83,0,1.12,07/15/20
Goderich,CA,43.75,-81.72,25.56,90,92,1.79,07/15/20
Leshukonskoye,RU,64.9,45.76,9.27,76,100,4.27,07/15/20
Faya,SA,18.39,42.45,23.0,33,40,2.1,07/15/20
Olavarría,AR,-36.89,-60.32,7.78,63,49,0.45,07/15/20
Novy Urengoy,RU,66.08,76.63,10.36,82,100,11.66,07/15/20
Hualmay,PE,-11.1,-77.61,15.75,84,25,4.34,07/15/20
Pacsa,HU,46.72,17.01,17.0,82,90,1.5,07/15/20
Dhidhdhoo,MV,6.88,73.1,28.87,79,100,7.41,07/15/20
Gimbi,ET,9.17,35.83,13.36,100,100,0.79,07/15/20
Bontang,ID,0.13,117.5,26.97,74,98,1.16,07/15/20
Camaná,PE,-16.62,-72.71,16.16,81,54,2.84,07/15/20
Turan,VN,16.07,108.22,32.0,59,20,1.0,07/15/20
Yelbarga,IN,15.63,76.02,22.28,85,100,7.39,07/15/20
Maracaibo,VE,10.63,-71.64,27.42,74,2,5.66,07/15/20
Mugur-Aksy,RU,50.35,90.5,13.51,64,82,1.91,07/15/20
Yorosso,ML,12.35,-4.78,23.44,85,100,2.27,07/15/20
Dakar,SN,14.69,-17.44,25.0,78,20,1.5,07/15/20
Rio Grande,BR,-32.03,-52.1,7.68,64,0,2.08,07/15/20
Jutaí,BR,-5.18,-68.9,24.76,68,86,0.76,07/15/20
Tessalit,ML,20.2,1.01,28.57,43,35,5.66,07/15/20
Baculin,PH,7.45,126.58,29.41,66,45,1.89,07/15/20
Manosque,FR,43.83,5.79,16.67,75,8,1.87,07/15/20
Doos,PH,10.47,124.73,30.24,64,100,0.76,07/15/20
Muisne,EC,0.6,-80.03,23.66,86,100,3.06,07/15/20
Dunmore Town,BS,25.5,-76.65,28.75,74,83,4.99,07/15/20
Iquique,CL,-20.22,-70.14,15.0,77,90,4.1,07/15/20
Ozinki,RU,51.18,49.68,20.37,68,100,3.7,07/15/20
Oistins,BB,13.07,-59.53,28.0,74,40,5.7,07/15/20
Rock Sound,BS,24.9,-76.2,28.71,75,41,4.94,07/15/20
Quesnel,CA,53.0,-122.5,21.0,68,90,2.1,07/15/20
Adrar,MR,20.5,-10.07,32.89,21,30,6.3,07/15/20
Along,IN,28.17,94.77,25.28,87,100,0.65,07/15/20
Dudinka,RU,69.41,86.18,10.0,87,40,4.0,07/15/20
Nouadhibou,MR,20.93,-17.03,21.0,88,7,5.1,07/15/20
Kutum,SD,14.2,24.67,23.92,61,100,3.84,07/15/20
Nouakchott,MR,18.09,-15.98,24.0,78,2,3.1,07/15/20
Gland,CH,46.42,6.27,17.22,72,75,1.5,07/15/20
Nioaque,BR,-21.14,-55.83,23.52,57,21,2.21,07/15/20
Port Hedland,AU,-20.32,118.57,24.0,16,0,8.2,07/15/20
Palana,RU,59.12,159.97,9.72,100,100,4.94,07/15/20
Usinsk,RU,65.99,57.53,9.7,70,54,4.37,07/15/20
Santa Isabel Rio Negro,BR,-0.41,-65.02,23.71,83,95,0.68,07/15/20
Quelimane,MZ,-17.88,36.89,18.61,75,43,5.19,07/15/20
Chernyshevsk,RU,52.52,117.02,26.14,57,100,3.38,07/15/20
Beyneu,KZ,45.32,55.2,27.74,24,0,3.64,07/15/20
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,16.0,87,75,5.0,07/15/20
Răcoasa,RO,46.0,26.88,15.56,93,100,1.0,07/15/20
Fort Saint James,CA,54.43,-124.25,13.65,93,100,2.46,07/15/20
Richards Bay,ZA,-28.78,32.04,11.96,73,10,2.45,07/15/20
Ketchikan,US,55.34,-131.65,13.0,100,90,8.7,07/15/20
Mangai,CD,-4.05,19.53,21.53,85,31,0.16,07/15/20
North Bend,US,43.41,-124.22,26.11,93,90,10.3,07/15/20
Shahr-e Kord,IR,32.33,50.86,14.0,44,3,3.1,07/15/20
Sur,OM,22.57,59.53,30.53,59,96,2.22,07/15/20
Vila Velha,BR,-20.33,-40.29,20.56,94,90,5.1,07/15/20
Tuensang,IN,26.28,94.83,24.31,82,81,0.77,07/15/20
Flinders,AU,-34.58,150.86,16.11,61,100,3.58,07/15/20
Port Hardy,CA,50.7,-127.42,22.0,68,75,4.1,07/15/20
Bariloche,AR,-41.15,-71.31,2.0,93,75,1.0,07/15/20
Muros,ES,42.78,-9.06,16.11,76,0,2.68,07/15/20
Imeni Poliny Osipenko,RU,52.42,136.49,26.09,72,98,3.56,07/15/20
Sumbe,AO,-11.21,13.84,20.6,88,55,0.2,07/15/20
Tateyama,JP,34.98,139.87,23.89,83,75,3.1,07/15/20
Pangkalanbuun,ID,-2.68,111.62,26.98,79,86,1.42,07/15/20
Kaitangata,NZ,-46.28,169.85,8.33,74,34,4.92,07/15/20
Okhotsk,RU,59.38,143.3,15.39,87,99,2.61,07/15/20
Rapid Valley,US,44.06,-103.15,27.22,32,1,5.1,07/15/20
Flin Flon,CA,54.77,-101.86,14.48,86,99,5.15,07/15/20
Ibrā’,OM,22.69,58.53,30.2,49,100,0.87,07/15/20
Te Anau,NZ,-45.42,167.72,4.89,68,95,0.71,07/15/20
Matara,LK,5.95,80.54,26.61,84,100,3.62,07/15/20
Zyryanka,RU,65.75,150.85,10.66,52,99,4.12,07/15/20
Trincomalee,LK,8.57,81.23,27.75,77,100,8.56,07/15/20
Manokwari,ID,-0.87,134.08,29.11,67,1,3.5,07/15/20
Yakeshi,CN,49.28,120.73,29.2,44,82,3.47,07/15/20
Iqaluit,CA,63.75,-68.51,18.0,34,20,1.0,07/15/20
Camopi,GF,3.17,-52.32,22.12,96,8,1.1,07/15/20
Phek,IN,25.67,94.5,20.75,93,77,0.46,07/15/20
Khorramabad,IR,33.49,48.36,19.18,42,0,2.44,07/15/20
Lagunas,PE,-5.23,-75.68,22.4,97,60,0.76,07/15/20
Maragogi,BR,-9.01,-35.22,23.78,80,0,3.18,07/15/20
Palu,ID,-0.89,119.87,24.83,83,100,1.06,07/15/20
Pacific Grove,US,36.62,-121.92,20.56,68,1,4.1,07/15/20
Nuuk,GL,64.18,-51.72,9.0,61,68,2.6,07/15/20
Eucaliptus,BO,-17.58,-67.52,6.65,50,0,2.51,07/15/20
Rey Bouba,CM,8.67,14.18,21.82,94,97,0.95,07/15/20
Buchanan,LR,5.88,-10.05,23.08,78,100,3.21,07/15/20
Cayenne,GF,4.93,-52.33,25.0,100,40,1.0,07/15/20
Kerema,PG,-7.96,145.78,27.85,80,21,4.13,07/15/20
Iralaya,HN,15.0,-83.23,26.77,84,100,4.19,07/15/20
Ayutinskiy,RU,47.77,40.14,12.0,93,15,1.0,07/15/20
Assiniboia,CA,49.63,-105.98,19.45,56,50,4.5,07/15/20
Monrovia,LR,6.3,-10.8,23.67,80,94,4.56,07/15/20
Gold Coast,AU,-28.0,153.43,21.11,42,0,4.6,07/15/20
Sistranda,NO,63.73,8.83,13.0,93,75,1.5,07/15/20
Ryōtsu-minato,JP,38.08,138.43,24.0,73,75,1.5,07/15/20
At-Bashi,KG,41.17,75.81,17.7,38,86,0.39,07/15/20
Makoshyne,UA,51.46,32.34,10.04,85,39,2.18,07/15/20
Tangará,BR,-6.2,-35.8,24.0,100,20,1.5,07/15/20
Karmāla,IN,18.42,75.2,22.41,91,100,4.38,07/15/20
Bowen,AU,-20.02,148.23,21.67,40,0,5.7,07/15/20
Huanren,CN,41.26,125.37,29.02,55,0,1.03,07/15/20
Mabaruma,GY,8.2,-59.78,23.71,95,54,1.24,07/15/20
Russell,US,32.35,-85.2,23.0,94,1,2.1,07/15/20
Toccoa,US,34.58,-83.33,29.0,70,90,0.81,07/15/20
Jaca,ES,42.57,-0.55,16.67,91,0,1.44,07/15/20
Moyo,UG,3.66,31.72,17.31,96,100,0.66,07/15/20
Naifaru,MV,5.44,73.37,28.73,78,100,5.64,07/15/20
San Rafael,AR,-34.62,-68.33,9.46,55,0,2.67,07/15/20
Şile,TR,41.18,29.61,18.89,71,24,4.05,07/15/20
Majene,ID,-3.54,118.97,27.6,78,89,5.48,07/15/20
Samarai,PG,-10.62,150.67,25.44,87,66,7.62,07/15/20
Hammerfest,NO,70.66,23.68,13.0,76,39,2.6,07/15/20
Dwārka,IN,22.24,68.97,28.97,83,94,3.35,07/15/20
Sampit,ID,-2.53,112.95,27.87,74,88,1.52,07/15/20
Rafaela,AR,-31.25,-61.49,12.78,35,100,1.79,07/15/20
Qaryat Sulūq,LY,31.67,20.25,20.62,79,0,2.8,07/15/20
Hyères,FR,43.12,6.12,19.44,72,90,0.5,07/15/20
Ruska Poliana,UA,49.42,31.92,12.84,90,0,2.25,07/15/20
Mitsamiouli,KM,-11.38,43.28,24.34,73,12,10.64,07/15/20
Caniço,PT,32.63,-16.85,21.0,68,40,4.1,07/15/20
Moose Factory,CA,51.26,-80.61,23.0,64,1,3.6,07/15/20
Diamantino,BR,-14.41,-56.45,23.43,35,0,2.42,07/15/20
Nísia Floresta,BR,-6.09,-35.21,24.0,100,20,2.1,07/15/20
Mananjary,MG,-21.22,48.33,19.55,89,50,5.58,07/15/20
Baruun-Urt,MN,46.68,113.28,20.76,66,100,7.26,07/15/20
Katsuura,JP,35.13,140.3,23.89,83,75,3.1,07/15/20
Mayumba,GA,-3.43,10.66,21.03,88,97,1.98,07/15/20
Puri,IN,19.8,85.85,27.0,94,20,3.1,07/15/20
Nola,IT,40.92,14.53,21.0,77,20,0.51,07/15/20
Vallenar,CL,-28.57,-70.76,14.47,51,0,0.54,07/15/20
Isla Mujeres,MX,21.23,-86.73,29.0,89,40,2.1,07/15/20
Aripuanã,BR,-9.17,-60.63,22.75,52,0,0.79,07/15/20
Havelock,US,34.88,-76.9,26.67,80,1,2.1,07/15/20
